beam_num,beam_center,beam_left,beam_right
0,-7.339,-7.487,-7.345
1,-7.043,-7.193,-7.048
2,-6.744,-6.895,-6.749
3,-6.443,-6.595,-6.447
4,-6.14,-6.293,-6.144
5,-5.835,-5.988,-5.839
6,-5.529,-5.683,-5.533
7,-5.222,-5.377,-5.225
8,-4.913,-5.069,-4.915
9,-4.602,-4.758,-4.604
10,-4.29,-4.448,-4.291
11,-3.975,-4.133,-3.976
12,-3.659,-3.818,-3.66
13,-3.342,-3.501,-3.343
14,-3.025,-3.184,-3.026
15,-2.708,-2.867,-2.709
16,-2.391,-2.55,-2.392
17,-2.074,-2.233,-2.075
18,-1.756,-1.915,-1.757
19,-1.438,-1.598,-1.438
20,-1.119,-1.279,-1.119
21,-0.8,-0.96,-0.8
22,-0.48,-0.64,-0.48
23,-0.16,-0.32,-0.16
24,0.16,0.16,0.32
25,0.48,0.48,0.64
26,0.8,0.8,0.96
27,1.119,1.119,1.279
28,1.438,1.438,1.598
29,1.756,1.757,1.915
30,2.074,2.075,2.233
31,2.391,2.392,2.55
32,2.708,2.709,2.867
33,3.025,3.026,3.184
34,3.342,3.343,3.501
35,3.659,3.66,3.818
36,3.975,3.976,4.133
37,4.29,4.291,4.448
38,4.602,4.604,4.758
39,4.913,4.915,5.069
40,5.222,5.225,5.377
41,5.529,5.533,5.683
42,5.835,5.839,5.988
43,6.14,6.144,6.293
44,6.443,6.447,6.595
45,6.744,6.749,6.895
46,7.043,7.048,7.193
47,7.339,7.345,7.487
