beam_num,beam_center,beam_left,beam_right
0,-14.8872,-15.1175,-14.6569
1,-14.4266,-14.6569,-14.1952
2,-13.9637,-14.1952,-13.7314
3,-13.499,-13.7314,-13.2661
4,-13.0332,-13.2661,-12.7999
5,-12.5665,-12.7999,-12.3326
6,-12.0986,-12.3326,-11.8641
7,-11.6295,-11.8641,-11.3944
8,-11.1593,-11.3944,-10.9238
9,-10.6883,-10.9238,-10.4524
10,-10.2165,-10.4524,-9.9802
11,-9.7439,-9.9802,-9.5073
12,-9.2706,-9.5073,-9.0338
13,-8.7969,-9.0338,-8.5599
14,-8.3228,-8.5599,-8.0857
15,-7.8486,-8.0857,-7.6114
16,-7.3742,-7.6114,-7.137
17,-6.8997,-7.137,-6.6624
18,-6.425,-6.6624,-6.1876
19,-5.9502,-6.1876,-5.7128
20,-5.4753,-5.7128,-5.2378
21,-5.0003,-5.2378,-4.7627
22,-4.5251,-4.7627,-4.2875
23,-4.0499,-4.2875,-3.8122
24,-3.5745,-3.8122,-3.3368
25,-3.0991,-3.3368,-2.8613
26,-2.6234,-2.8613,-2.3854
27,-2.1473,-2.3854,-1.9091
28,-1.6708,-1.9091,-1.4324
29,-1.1939,-1.4324,-0.9553
30,-0.7166,-0.9553,-0.4778
31,-0.2389,-0.4778,0.0
32,0.2389,0.0,0.4778
33,0.7166,0.4778,0.9553
34,1.1939,0.9553,1.4324
35,1.6708,1.4324,1.9091
36,2.1473,1.9091,2.3854
37,2.6234,2.3854,2.8613
38,3.0991,2.8613,3.3368
39,3.5745,3.3368,3.8122
40,4.0499,3.8122,4.2875
41,4.5251,4.2875,4.7627
42,5.0003,4.7627,5.2378
43,5.4753,5.2378,5.7128
44,5.9502,5.7128,6.1876
45,6.425,6.1876,6.6624
46,6.8997,6.6624,7.137
47,7.3742,7.137,7.6114
48,7.8486,7.6114,8.0857
49,8.3228,8.0857,8.5599
50,8.7969,8.5599,9.0338
51,9.2706,9.0338,9.5073
52,9.7439,9.5073,9.9802
53,10.2165,9.9802,10.4524
54,10.6883,10.4524,10.9238
55,11.1593,10.9238,11.3944
56,11.6295,11.3944,11.8641
57,12.0986,11.8641,12.3326
58,12.5665,12.3326,12.7999
59,13.0332,12.7999,13.2661
60,13.499,13.2661,13.7314
61,13.9637,13.7314,14.1952
62,14.4266,14.1952,14.6569
63,14.8872,14.6569,15.1175
