beam_num,beam_center,beam_left,beam_right
0,-15.0068,-15.1218,-14.8918
1,-14.7768,-14.8918,-14.6615
2,-14.5462,-14.6615,-14.4306
3,-14.315,-14.4306,-14.1992
4,-14.0833,-14.1992,-13.9672
5,-13.8511,-13.9672,-13.7349
6,-13.6186,-13.7349,-13.5022
7,-13.3858,-13.5022,-13.2693
8,-13.1528,-13.2693,-13.0362
9,-12.9196,-13.0362,-12.8029
10,-12.6861,-12.8029,-12.5692
11,-12.4523,-12.5692,-12.3353
12,-12.2182,-12.3353,-12.101
13,-11.9838,-12.101,-11.8665
14,-11.7491,-11.8665,-11.6316
15,-11.5141,-11.6316,-11.3965
16,-11.2789,-11.3965,-11.1612
17,-11.0435,-11.1612,-10.9257
18,-10.8079,-10.9257,-10.69
19,-10.5721,-10.69,-10.4541
20,-10.3361,-10.4541,-10.218
21,-10.0999,-10.218,-9.9817
22,-9.8635,-9.9817,-9.7452
23,-9.6269,-9.7452,-9.5086
24,-9.3902,-9.5086,-9.2718
25,-9.1534,-9.2718,-9.035
26,-8.9165,-9.035,-8.798
27,-8.6795,-8.798,-8.561
28,-8.4424,-8.561,-8.3239
29,-8.2053,-8.3239,-8.0868
30,-7.9682,-8.0868,-7.8496
31,-7.731,-7.8496,-7.6124
32,-7.4938,-7.6124,-7.3752
33,-7.2566,-7.3752,-7.138
34,-7.0193,-7.138,-6.9007
35,-6.782,-6.9007,-6.6633
36,-6.5446,-6.6633,-6.4259
37,-6.3072,-6.4259,-6.1885
38,-6.0698,-6.1885,-5.9511
39,-5.8324,-5.9511,-5.7137
40,-5.5949,-5.7137,-5.4762
41,-5.3574,-5.4762,-5.2387
42,-5.1199,-5.2387,-5.0011
43,-4.8823,-5.0011,-4.7635
44,-4.6447,-4.7635,-4.5259
45,-4.4071,-4.5259,-4.2883
46,-4.1695,-4.2883,-4.0507
47,-3.9318,-4.0507,-3.813
48,-3.6941,-3.813,-3.5753
49,-3.4564,-3.5753,-3.3376
50,-3.2187,-3.3376,-3.0998
51,-2.9809,-3.0998,-2.862
52,-2.743,-2.862,-2.624
53,-2.505,-2.624,-2.386
54,-2.2669,-2.386,-2.1478
55,-2.0287,-2.1478,-1.9096
56,-1.7904,-1.9096,-1.6712
57,-1.552,-1.6712,-1.4328
58,-1.3135,-1.4328,-1.1942
59,-1.0749,-1.1942,-0.9556
60,-0.8362,-0.9556,-0.7168
61,-0.5974,-0.7168,-0.478
62,-0.3585,-0.478,-0.2391
63,-0.1196,-0.2391,-0.0001
64,0.1194,-0.0001,0.2389
65,0.3584,0.2389,0.4779
66,0.5973,0.4779,0.7168
67,0.8362,0.7168,0.9556
68,1.075,0.9556,1.1944
69,1.3137,1.1944,1.433
70,1.5523,1.433,1.6716
71,1.7908,1.6716,1.91
72,2.0292,1.91,2.1484
73,2.2675,2.1484,2.3866
74,2.5057,2.3866,2.6248
75,2.7438,2.6248,2.8628
76,2.9818,2.8628,3.1008
77,3.2197,3.1008,3.3386
78,3.4575,3.3386,3.5764
79,3.6952,3.5764,3.8141
80,3.9329,3.8141,4.0518
81,4.1706,4.0518,4.2895
82,4.4083,4.2895,4.5271
83,4.6459,4.5271,4.7647
84,4.8835,4.7647,5.0023
85,5.1211,5.0023,5.2399
86,5.3587,5.2399,5.4775
87,5.5962,5.4775,5.715
88,5.8337,5.715,5.9525
89,6.0712,5.9525,6.1899
90,6.3086,6.1899,6.4273
91,6.546,6.4273,6.6647
92,6.7834,6.6647,6.9021
93,7.0208,6.9021,7.1395
94,7.2581,7.1395,7.3768
95,7.4954,7.3768,7.614
96,7.7326,7.614,7.8512
97,7.9698,7.8512,8.0884
98,8.207,8.0884,8.3256
99,8.4441,8.3256,8.5627
100,8.6812,8.5627,8.7998
101,8.9183,8.7998,9.0368
102,9.1553,9.0368,9.2738
103,9.3922,9.2738,9.5106
104,9.629,9.5106,9.7474
105,9.8657,9.7474,9.984
106,10.1023,9.984,10.2205
107,10.3387,10.2205,10.4568
108,10.5749,10.4568,10.6929
109,10.8109,10.6929,10.9288
110,11.0467,10.9288,11.1645
111,11.2823,11.1645,11.4
112,11.5177,11.4,11.6353
113,11.7529,11.6353,11.8704
114,11.9879,11.8704,12.1053
115,12.2226,12.1053,12.3398
116,12.457,12.3398,12.5741
117,12.6911,12.5741,12.808
118,12.9249,12.808,13.0417
119,13.1584,13.0417,13.275
120,13.3916,13.275,13.5081
121,13.6246,13.5081,13.741
122,13.8574,13.741,13.9737
123,14.0899,13.9737,14.206
124,14.3221,14.206,14.438
125,14.5538,14.438,14.6694
126,14.785,14.6694,14.9003
127,15.0156,14.9003,15.1306
